model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate
gemma3:12b,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,0.19558359621451105,0.19558359621451105,0.0,0.19558359621451105,0.19558359621451105,0.14105236918710007,0.14105236918710007,0.0,0.14105236918710007,0.14105236918710007,0.29473684210526313,0.29473684210526313,0.0,0.29473684210526313,0.29473684210526313,0.909199595451355,0.909199595451355,0.0,0.909199595451355,0.909199595451355,0.8870872259140015,0.8870872259140015,0.0,0.8870872259140015,0.8870872259140015,0.898007333278656,0.898007333278656,0.0,0.898007333278656,0.898007333278656,0.89,0.9,0.05477225575051658,0.8,0.95,5,1,1,303.0,0.2,0.2,5,1.0
gemma3:12b,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2846146345787351,0.29059829059829057,0.026690886144470065,0.23853211009174313,0.3076923076923077,0.12823311867824955,0.11796246648793565,0.017312613663771115,0.11518324607329843,0.1531791907514451,0.08902697774408425,0.08021537449613124,0.016558867897167585,0.07805367605048008,0.11768145401198607,0.253475567556142,0.25641025641025644,0.01988345882367148,0.22018348623853212,0.27350427350427353,0.8895039916038513,0.889716625213623,0.002913575718808381,0.8846420049667358,0.8921605944633484,0.8752087593078614,0.87844318151474,0.00769902526090912,0.8614500761032104,0.8792440295219421,0.8822924137115479,0.8840439319610596,0.005288975241379992,0.8728920221328735,0.8852590322494507,0.95,0.95,0.0,0.95,0.95,5,4,4,310.6,0.8,0.8,2,0.4
gemma3:12b,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932925932925933,0.30303030303030304,0.0178903842770741,0.27027027027027023,0.3076923076923077,0.4256498321042468,0.46952595936794583,0.06302949535545643,0.34901960784313724,0.4727272727272727,0.13574513652110695,0.1441067013260561,0.015885213359382973,0.11561678083663278,0.14868720326332424,0.2932925932925933,0.30303030303030304,0.0178903842770741,0.27027027027027023,0.3076923076923077,0.9006312251091003,0.9000933170318604,0.005795571918686638,0.8939607739448547,0.9098533987998962,0.9194023847579956,0.919096827507019,0.0012162951661049744,0.918243408203125,0.9211469888687134,0.9099132537841796,0.9096864461898804,0.0032089924249009403,0.9060283899307251,0.9149472713470459,1.0,1.0,0.0,1.0,1.0,5,5,5,273.2,1.0,1.0,1,0.2
gemma3:12b,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28400000000000003,0.30000000000000004,0.035777087639996666,0.21999999999999997,0.30000000000000004,0.1451727541169398,0.14516129032258066,0.0014412733499029554,0.14331210191082802,0.1465798045602606,0.10902773176668898,0.11067926155676425,0.0036929328774742563,0.10242161260638791,0.11067926155676425,0.21599999999999997,0.21999999999999997,0.008944271909999144,0.2,0.21999999999999997,0.8792010426521302,0.8797082304954529,0.0025673123003736313,0.8748043775558472,0.8810350894927979,0.8976413011550903,0.8973791003227234,0.00122701240951659,0.8959048390388489,0.8988249897956848,0.8883249521255493,0.8884557485580444,0.0018844738254331554,0.8852288722991943,0.8898411393165588,0.9800000000000001,1.0,0.02738612787525833,0.95,1.0,5,4,4,367.0,0.8,0.8,2,0.4
llama3.1:8b,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38483091787439616,0.3777777777777778,0.015771300710868057,0.3777777777777778,0.41304347826086957,0.20918379558133834,0.2058319039451115,0.0074950575518162735,0.2058319039451115,0.22259136212624583,0.13422832967743947,0.13082545840551071,0.007609051482713886,0.13082545840551071,0.14783981476515454,0.3097584541062802,0.3111111111111111,0.003024633013043182,0.30434782608695654,0.3111111111111111,0.9225082635879517,0.9226164221763611,0.00024184995603389873,0.922075629234314,0.9226164221763611,0.8897367119789124,0.8868899345397949,0.006365587870679338,0.8868899345397949,0.9011238217353821,0.9058162331581116,0.9044004678726196,0.0031657474185443728,0.9044004678726196,0.9114792943000793,0.86,0.85,0.04183300132670378,0.8,0.9,5,2,2,252.2,0.4,0.4,4,0.8
llama3.1:8b,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41350886917960084,0.43750000000000006,0.07011949615782359,0.31666666666666665,0.5,0.07650752585472384,0.10864197530864197,0.048409051360581073,0.019925280199252802,0.11458333333333333,0.0903257151436965,0.08526712254140618,0.020906572264916334,0.06275744709156578,0.11642200150787901,0.289205007390983,0.2764227642276422,0.02715242263425341,0.26666666666666666,0.3333333333333333,0.8872225642204284,0.8899755477905273,0.007522864603719931,0.8754101395606995,0.8949059844017029,0.8879024028778076,0.8929620981216431,0.01011195741342301,0.8740739226341248,0.8975695371627808,0.8875584006309509,0.8914663195610046,0.00865918703492226,0.8747415542602539,0.8946852684020996,0.95,0.95,0.035355339059327355,0.9,1.0,5,5,5,349.0,1.0,1.0,1,0.2
llama3.1:8b,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48863001398677036,0.5121951219512195,0.054355639735889284,0.3917525773195876,0.5168539325842696,0.4343055914413113,0.4646840148698885,0.054784404108464434,0.3701067615658363,0.4909456740442656,0.15470409398490687,0.16342329347745274,0.030596534226631555,0.10128441760457453,0.1794606310363327,0.37354054861012004,0.4044943820224719,0.06673414818339246,0.2680412371134021,0.43902439024390244,0.9082480072975159,0.9138330817222595,0.009182150094078472,0.8939075469970703,0.9154266119003296,0.9495867371559144,0.9537760019302368,0.010730588575568871,0.9307387471199036,0.9561182856559753,0.928454315662384,0.9342079162597656,0.009757905730296525,0.91195148229599,0.9345412254333496,1.0,1.0,0.0,1.0,1.0,5,5,5,364.0,1.0,1.0,1,0.2
llama3.1:8b,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26219592186931484,0.2608695652173913,0.015055066668613126,0.2456140350877193,0.2809917355371901,0.12705993996126289,0.1318051575931232,0.008842282231317018,0.11341632088520055,0.13372093023255813,0.08423264837881286,0.08479366932022776,0.0026733780110691626,0.08017067662329351,0.08755208448101752,0.186432301374053,0.18803418803418806,0.011424178578005545,0.1739130434782609,0.1983471074380165,0.8631711840629578,0.8642760515213013,0.003921277301823029,0.8584616184234619,0.8681572079658508,0.8940565943717956,0.8943718075752258,0.002495750924546481,0.8899516463279724,0.896539568901062,0.8783389925956726,0.8794198632240295,0.002689024056958796,0.8739230036735535,0.8808998465538025,0.9800000000000001,1.0,0.02738612787525833,0.95,1.0,5,5,5,458.0,1.0,1.0,1,0.2
medaibase/medgemma1.5:4b,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.375,0.013693063937629165,0.375,0.4,0.1892504147578257,0.18408736349453977,0.007069799106143108,0.18408736349453977,0.19699499165275458,0.13933952750134607,0.14232128602120594,0.0040829410059011915,0.13486688972155622,0.14232128602120594,0.36361111111111116,0.3541666666666667,0.01293233816331644,0.3541666666666667,0.3777777777777778,0.9122214794158936,0.9093585014343262,0.003920294055362668,0.9093585014343262,0.9165159463882446,0.8920782923698425,0.8927249312400818,0.0008854467394742489,0.8911083340644836,0.8927249312400818,0.9020323634147644,0.9009649157524109,0.0014616629090679516,0.9009649157524109,0.9036335349082947,0.85,0.85,0.05,0.8,0.9,5,2,2,293.4,0.4,0.4,3,0.6
medaibase/medgemma1.5:4b,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40321169105793186,0.37931034482758624,0.03699489287587307,0.3703703703703704,0.4444444444444444,0.1503789989817733,0.15602836879432624,0.012019690615191326,0.13756613756613756,0.16434108527131783,0.13616567692730086,0.12931722163846932,0.021005617317599853,0.10815102682327105,0.15988444418612852,0.3455977579776336,0.3275862068965517,0.030965960618062494,0.3148148148148148,0.380952380952381,0.9033906579017639,0.902885377407074,0.004577469659986435,0.8992215991020203,0.9100137948989868,0.8888856649398804,0.8815751671791077,0.012356182735205673,0.8769394159317017,0.9041931629180908,0.8960547804832458,0.891044557094574,0.00779019517221861,0.8903109431266785,0.9070941209793091,0.96,0.95,0.04183300132670377,0.9,1.0,5,4,4,275.8,0.8,0.8,2,0.4
